year,western_champion,western_coach,result,eastern_champion,eastern_coach,finals_mvp
1947,Chicago Stags,Harold Olsen,w1-e4,Philadelphia Warriors,Eddie Gottlieb,
1948,Baltimore Bullets,Buddy Jeannette,w4-e2,Philadelphia Warriors,Eddie Gottlieb,
1949,Minneapolis Lakers,John Kundla,w4-e2,Washington Capitols,Red Auerbach,
1950,Minneapolis Lakers,John Kundla,w4-e2,Syracuse Nationals,Al Cervi,
1951,Rochester Royals,Les Harrison,w4-e3,New York Knicks,Joe Lapchick,
1952,Minneapolis Lakers,John Kundla,w4-e3,New York Knicks,Joe Lapchick,
1953,Minneapolis Lakers,John Kundla,w4-e1,New York Knicks,Joe Lapchick,
1954,Minneapolis Lakers,John Kundla,w4-e3,Syracuse Nationals,Al Cervi,
1955,Fort Wayne Pistons,Charles Eckman,w3-e4,Syracuse Nationals,Al Cervi,
1956,Fort Wayne Pistons,Charles Eckman,w1-e4,Philadelphia Warriors,George Senesky,
1957,St. Louis Hawks,Alex Hannum,w3-e4,Boston Celtics,Red Auerbach,
1958,St. Louis Hawks,Alex Hannum,w4-e2,Boston Celtics,Red Auerbach,
1959,Minneapolis Lakers,John Kundla,w0-e4,Boston Celtics,Red Auerbach,
1960,St. Louis Hawks,Ed Macauley,w3-e4,Boston Celtics,Red Auerbach,
1961,St. Louis Hawks,Paul Seymour,w1-e4,Boston Celtics,Red Auerbach,
1962,Los Angeles Lakers,Fred Schaus,w3-e4,Boston Celtics,Red Auerbach,
1963,Los Angeles Lakers,Fred Schaus,w2-e4,Boston Celtics,Red Auerbach,
1964,San Francisco Warriors,Alex Hannum,w1-e4,Boston Celtics,Red Auerbach,
1965,Los Angeles Lakers,Fred Schaus,w1-e4,Boston Celtics,Red Auerbach,
1966,Los Angeles Lakers,Fred Schaus,w3-e4,Boston Celtics,Red Auerbach,
1967,San Francisco Warriors,Bill Sharman,w2-e4,Philadelphia 76ers,Alex Hannum,
1968,Los Angeles Lakers,Butch van Breda Kolff,w2-e4,Boston Celtics,Bill Russell,
1969,Los Angeles Lakers,Butch van Breda Kolff,w3-e4,Boston Celtics,Bill Russell,Jerry West
1970,Los Angeles Lakers,Joe Mullaney,w3-e4,New York Knicks,Red Holzman,Willis Reed
1971,Milwaukee Bucks,Larry Costello,w4-e0,Baltimore Bullets,Gene Shue,Lew Alcindor
1972,Los Angeles Lakers,Bill Sharman,w4-e1,New York Knicks,Red Holzman,Wilt Chamberlain
1973,Los Angeles Lakers,Bill Sharman,w1-e4,New York Knicks,Red Holzman,Willis Reed
1974,Milwaukee Bucks,Larry Costello,w3-e4,Boston Celtics,Tom Heinsohn,John Havlicek
1975,Golden State Warriors,Al Attles,w4-e0,Washington Bullets,K. C. Jones,Rick Barry
1976,Phoenix Suns,John MacLeod,w2-e4,Boston Celtics,Tom Heinsohn,Jo Jo White
1977,Portland Trail Blazers,Jack Ramsay,w4-e2,Philadelphia 76ers,Gene Shue,Bill Walton
1978,Seattle SuperSonics,Lenny Wilkens,w3-e4,Washington Bullets,Dick Motta,Wes Unseld
1979,Seattle SuperSonics,Lenny Wilkens,w4-e1,Washington Bullets,Dick Motta,Dennis Johnson
1980,Los Angeles Lakers,Paul Westhead,w4-e2,Philadelphia 76ers,Billy Cunningham,Magic Johnson
1981,Houston Rockets,Del Harris,w2-e4,Boston Celtics,Bill Fitch,Cedric Maxwell
1982,Los Angeles Lakers,Pat Riley,w4-e2,Philadelphia 76ers,Billy Cunningham,Magic Johnson
1983,Los Angeles Lakers,Pat Riley,w0-e4,Philadelphia 76ers,Billy Cunningham,Moses Malone
1984,Los Angeles Lakers,Pat Riley,w3-e4,Boston Celtics,K. C. Jones,Larry Bird
1985,Los Angeles Lakers,Pat Riley,w4-e2,Boston Celtics,K. C. Jones,Kareem Abdul-Jabbar
1986,Houston Rockets,Bill Fitch,w2-e4,Boston Celtics,K. C. Jones,Larry Bird
1987,Los Angeles Lakers,Pat Riley,w4-e2,Boston Celtics,K. C. Jones,Magic Johnson
1988,Los Angeles Lakers,Pat Riley,w4-e3,Detroit Pistons,Chuck Daly,James Worthy
1989,Los Angeles Lakers,Pat Riley,w0-e4,Detroit Pistons,Chuck Daly,Joe Dumars
1990,Portland Trail Blazers,Rick Adelman,w1-e4,Detroit Pistons,Chuck Daly,Isiah Thomas
